# m1 m2 a1x a1y a1z a2x a2y a2z mc eta indx  Npts ra dec tref phiorb incl psi  dist p ps lnL mtotal q  lambda1 lambda2
77.319241 48.220924 0.0 0.0 0.35346032 0.0 0.0 0.49016988 52.8636720471 0.236568937809 27 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 125.540165 0.623660079643 0.0 0.0
74.659052 33.454431 0.0 0.0 0.16151894 0.0 0.0 0.055314764 42.8297657885 0.213686163101 28 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 108.113483 0.44809611298 0.0 0.0
78.938934 28.3196 0.0 0.0 -0.031858077 0.0 0.0 0.17089641 40.1366066225 0.194318727881 29 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 107.258534 0.358753261097 0.0 0.0
83.397792 36.643796 0.0 0.0 0.33037501 0.0 0.0 -0.10894135 47.339826205 0.212076010694 30 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 120.041588 0.439385685415 0.0 0.0
81.51479 49.746242 0.0 0.0 0.45230931 0.0 0.0 0.019518856 55.1024428096 0.235355885666 31 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 131.261032 0.610272589796 0.0 0.0
77.324546 34.491262 0.0 0.0 0.18240841 0.0 0.0 -0.0033086199 44.2501999055 0.213314339613 32 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 111.815808 0.446058383582 0.0 0.0
72.392755 29.703549 0.0 0.0 0.14494789 0.0 0.0 -0.60878712 39.6004447962 0.206292484303 33 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 102.096304 0.410311073256 0.0 0.0
76.915589 38.908317 0.0 0.0 0.010267679 0.0 0.0 0.52487267 47.0841189326 0.223079879915 34 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 115.823906 0.505857362673 0.0 0.0
77.862663 46.735908 0.0 0.0 0.69469586 0.0 0.0 0.04453976 52.177750332 0.234397953054 35 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 124.598571 0.600235160208 0.0 0.0
88.321312 53.173754 0.0 0.0 0.54713827 0.0 0.0 0.31147615 59.2801700931 0.234574198836 36 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 141.495066 0.602048959599 0.0 0.0
76.21036 26.590081 0.0 0.0 0.067675704 0.0 0.0 -0.53618034 38.1628858683 0.191753684686 37 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 102.800441 0.348903757967 0.0 0.0
79.497981 39.325464 0.0 0.0 0.16692521 0.0 0.0 0.44817967 48.088091893 0.221424501462 38 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 118.823445 0.494672487343 0.0 0.0
63.580508 54.77725 0.0 0.0 0.66908389 0.0 0.0 -0.17215373 51.3470131031 0.248616964242 39 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 118.357758 0.861541559246 0.0 0.0
86.091652 41.420388 0.0 0.0 0.30457686 0.0 0.0 0.13043797 51.3091575272 0.219317262576 40 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 127.51204 0.481119679292 0.0 0.0
84.320077 34.596024 0.0 0.0 0.23824787 0.0 0.0 -0.036999738 46.1239166083 0.206288900814 41 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 118.916101 0.410294027602 0.0 0.0
77.321095 76.322345 0.0 0.0 0.30962892 0.0 0.0 0.77744592 66.8754960386 0.249989436069 42 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 153.64344 0.987083085153 0.0 0.0
75.662269 49.83851 0.0 0.0 0.4751595 0.0 0.0 0.050367802 53.2276585489 0.239415116423 43 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 125.500779 0.65869700524 0.0 0.0
78.316526 27.976309 0.0 0.0 0.02184111 0.0 0.0 0.083411187 39.7269752976 0.19392591518 44 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 106.292835 0.357221016162 0.0 0.0
69.96581 24.562622 0.0 0.0 -0.11859073 0.0 0.0 -0.2727893 35.1547378632 0.192324974303 45 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 94.528432 0.351066070699 0.0 0.0
67.628167 57.459119 0.0 0.0 0.76590877 0.0 0.0 0.022558743 54.2312123881 0.248347755695 46 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 125.087286 0.849632949537 0.0 0.0
95.053886 45.719206 0.0 0.0 0.72953126 0.0 0.0 -0.26422891 56.641820526 0.219295265931 47 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 140.773092 0.480981976897 0.0 0.0
80.38484 63.328312 0.0 0.0 0.8717905 0.0 0.0 0.24333518 62.0245947448 0.246478495543 48 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 143.713152 0.787814120175 0.0 0.0
77.56279 39.452892 0.0 0.0 0.59130938 0.0 0.0 -0.60405246 47.6201266513 0.223482813374 49 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 117.015682 0.508657463199 0.0 0.0
73.32608 57.069483 0.0 0.0 0.15268712 0.0 0.0 0.66249363 56.2269959713 0.246114260693 50 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 130.395563 0.778297203396 0.0 0.0
67.563922 43.708634 0.0 0.0 0.20050458 0.0 0.0 0.34002392 47.0859826937 0.238509651301 51 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 111.272556 0.646922687525 0.0 0.0
85.826693 39.045339 0.0 0.0 0.53000557 0.0 0.0 -0.28869531 49.6388727232 0.214912273762 52 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 124.872032 0.454932348378 0.0 0.0
76.200168 43.708955 0.0 0.0 0.45419761 0.0 0.0 0.19390355 49.8592069059 0.231644449839 53 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 119.909123 0.573607068688 0.0 0.0
91.468214 38.584201 0.0 0.0 0.45653864 0.0 0.0 -0.034431333 50.7906934181 0.2086617609 54 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 130.052415 0.421831796125 0.0 0.0
66.810892 36.676937 0.0 0.0 0.055316677 0.0 0.0 0.00086177763 42.7136163343 0.228803032844 55 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 103.487829 0.548966432 0.0 0.0
68.703871 51.222861 0.0 0.0 0.44057573 0.0 0.0 0.65351684 51.5328099021 0.244688208098 56 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 119.926732 0.745560042752 0.0 0.0
66.814552 41.564833 0.0 0.0 0.31071162 0.0 0.0 -0.21547345 45.6214331381 0.236430628187 57 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 108.379385 0.622092519606 0.0 0.0
84.262901 46.249868 0.0 0.0 0.43610076 0.0 0.0 0.22098674 53.8663491689 0.228792032646 58 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 130.512769 0.548875809533 0.0 0.0
73.889487 58.964588 0.0 0.0 0.18146503 0.0 0.0 0.64374387 57.3890949554 0.246844900568 59 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 132.854075 0.798010520766 0.0 0.0
60.601168 53.732848 0.0 0.0 0.003371436 0.0 0.0 0.49981313 49.6589372679 0.249097826359 60 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 114.334016 0.886663570577 0.0 0.0
85.132426 26.105362 0.0 0.0 0.076793996 0.0 0.0 0.17056534 39.7049239793 0.179605669266 61 16000 0.0 0.0 0.0 0.0 0.0 0.0 1.0 0.0 0.0 0.0 111.237788 0.306644168698 0.0 0.0
